brand,model,model_type,price_euros,mileage,manual_automatic,year,fuel,power
BMW,X6,xDrive 40dA,16900,237000,Automático,01/2011,Diésel,225 kW (306 CV)
Dacia,Duster,1.5dCi Ambiance,7999,194500,Manual,12/2011,Diésel,63 kW (86 CV)
BMW,520,520dA,15999,170000,Automático,09/2014,Diésel,140 kW (190 CV)
Peugeot,308,1.6HDI FAP Sport 6 vel.,4200,225779,Manual,12/2008,Diésel,80 kW (109 CV)
Ford,Mondeo,2.0 TDCi Ghia,2500,270000,Manual,08/2004,Diésel,96 kW (131 CV)
BMW,X1,xDrive 18dA,10990,158000,Automático,12/2012,Diésel,105 kW (143 CV)
CUPRA,Leon,2.0 TSI DSG 140KW,24890,22300,Automático,01/2024,Gasolina,140 kW (190 CV)
Volkswagen,ID. Buzz,Pro 150 kW (204 CV),36000,17510,Automático,12/2023,Electro/Gasolina,150 kW (204 CV)
Land Rover,Range Rover Evoque,2.0 TD4 150cv Auto. 4x4 SE,14499,188244,Automático,11/2015,Diésel,110 kW (150 CV)
Ford,Kuga,2.0TDCi Auto S&S Titanium 4x2 150,13999,119919,Manual,05/2018,Diésel,110 kW (150 CV)
Toyota,C-HR,200H GR Sport Premiere Edition AWD,30950,12988,Automático,04/2024,Electro/Gasolina,144 kW (196 CV)
Toyota,Corolla,Verso 2.2D4D Luna,6990,159915,Manual,12/2008,Diésel,100 kW (136 CV)
Dacia,Duster,1.5Blue dCi Essential 4x2 85kW,12900,152000,Manual,12/2020,Diésel,85 kW (116 CV)
Toyota,Corolla,125H Business,14990,46990,Automático,01/2020,Electro/Gasolina,90 kW (122 CV)
Ferrari,12 Cilindri,12Cilindri,750000,23,Automático,01/2025,Gasolina,610 kW (829 CV)
Toyota,Corolla,Verso 2.2D4D Luna,6990,159915,Manual,12/2008,Diésel,100 kW (136 CV)
Dacia,Duster,1.5Blue dCi Essential 4x2 85kW,12900,152000,Manual,12/2020,Diésel,85 kW (116 CV)
Volkswagen,T-Cross,1.0 TSI Advance 81kW,19990,20000,Manual,01/2024,Gasolina,81 kW (110 CV)
Toyota,Corolla,125H Business,14990,46990,Automático,01/2020,Electro/Gasolina,90 kW (122 CV)
Ferrari,12 Cilindri,12Cilindri,750000,23,Automático,01/2025,Gasolina,610 kW (829 CV)
Renault,Clio,1.2 Pack Authentique,2790,130000,Manual,04/2004,Gasolina,44 kW (60 CV)
Peugeot,308,1.2 PureTech S&S Active Pack 130,14900,59120,Manual,03/2023,Gasolina,96 kW (131 CV)
Audi,A4,Avant 2.0TDI Multitronic DPF 143,8540,221754,Automático,07/2010,Diésel,105 kW (143 CV)
Fiat,500,1.2 Lounge,7450,82078,Manual,02/2020,Gasolina,51 kW (69 CV)
BMW,X3,xDrive 30dA,16500,168000,Automático,02/2014,Diésel,190 kW (258 CV)
BMW,225,225xe iPerformance Active Tourer,14990,108000,Automático,05/2019,Electro/Gasolina,165 kW (224 CV)
Volvo,V50,D5 Momentum Aut.,4950,240000,Automático,10/2006,Diésel,132 kW (179 CV)
Audi,A4,1.8,3610,151757,Manual,06/1999,Gasolina,132 kW (179 CV)
Audi,RS3,Sportback quattro S tronic 294kW,59900,68750,Automático,07/2022,Gasolina,294 kW (400 CV)
Toyota,,1.0 72CV Trendy,11300,57932,Manual,01/2023,Gasolina,53 kW (72 CV)
Alfa Romeo,Tonale,1.6 Diesel 131cv TCT Sprint,27290,9850,Automático,02/2024,Diésel,96 kW (131 CV)
Infiniti,QX50,3.0d GT Premium Aut.,12900,156000,Automático,05/2015,Diésel,175 kW (238 CV)
